ticker,date,period_ending,estimate,reported,surprise,surprise%
VOYA,05-AUG-21,Jun 2021,1.41,2.2,0.79,56.03
VPG,10-AUG-21,Jun 2021,0.35,0.49,0.14,40.0
VRAY,05-AUG-21,Jun 2021,-0.16,-0.19,-0.03,-18.75
VREX,03-AUG-21,Jun 2021,0.27,0.4,0.13,48.15
VRM,11-AUG-21,Jun 2021,-0.48,-0.48,0.0,0.0
VRNS,02-AUG-21,Jun 2021,-0.03,-0.01,0.02,66.67
VRNT,09-SEP-21,Jul 2021,0.44,0.58,0.14,31.82
VRRM,09-AUG-21,Jun 2021,0.15,0.1,-0.05,-33.33
VRSK,03-AUG-21,Jun 2021,1.34,1.17,-0.17,-12.69
VRSN,22-JUL-21,Jun 2021,1.32,1.31,-0.01,-0.76
VRT,28-JUL-21,Jun 2021,0.24,0.31,0.07,29.17
VRTS,28-JUL-21,Jun 2021,8.1,9.07,0.97,11.98
VRTV,09-AUG-21,Jun 2021,0.81,1.87,1.06,130.86
VRTX,29-JUL-21,Jun 2021,2.69,3.11,0.42,15.61
VSAT,05-AUG-21,Jun 2021,0.03,0.23,0.2,666.67
VSEC,28-JUL-21,Jun 2021,0.54,0.6,0.06,11.11
VSH,10-AUG-21,Jun 2021,0.59,0.61,0.02,3.39
VST,05-AUG-21,Jun 2021,0.25,0.1,-0.15,-60.0
VSTM,02-AUG-21,Jun 2021,-0.09,-0.1,-0.01,-11.11
VSTO,29-JUL-21,Jun 2021,0.89,1.74,0.85,95.51
VTGN,12-AUG-21,Jun 2021,-0.05,-0.04,0.01,20.0
VTR,06-AUG-21,Jun 2021,0.72,0.73,0.01,1.39
VVI,05-AUG-21,Jun 2021,-0.77,-1.89,-1.12,-145.45
VVV,04-AUG-21,Jun 2021,0.45,0.55,0.1,22.22
VXRT,05-AUG-21,Jun 2021,-0.14,-0.13,0.01,7.14
VZ,21-JUL-21,Jun 2021,1.3,1.37,0.07,5.38
W,05-AUG-21,Jun 2021,1.18,1.89,0.71,60.17
WAB,29-JUL-21,Jun 2021,0.98,1.06,0.08,8.16
WABC,15-JUL-21,Jun 2021,0.79,0.84,0.05,6.33
WAFD,13-JUL-21,Jun 2021,0.52,0.61,0.09,17.31
